"SN","Response","RT","Pair"
"50",1,1454.99999985695,10
"50",2,981.300000000003,11
"50",1,1222.29999995232,14
"50",1,2125.89999990464,2
"50",2,1249.3,18
"50",1,1487.99999990463,9
"50",1,3068.49999985695,15
"50",1,1682.10000000001,13
"50",-1,1055.00000004769,6
"52",-1,16536.4999998569,3
"52",1,1314.79999995232,14
"52",-2,1871.39999985695,16
"52",-1,1619.79999985695,11
"52",1,1931.3,2
"52",1,2446.89999985695,15
"52",1,4357.60000004769,12
"52",1,1831.49999990463,5
"52",-2,1726.79999990463,8
"52",1,1946.29999990463,1
"52",2,1605.09999995232,17
"52",2,1549.19999985695,6
"52",1,1615.99999985695,10
"52",2,967.299999952316,13
"52",1,1369.19999995232,4
"52",-1,1274.40000004768,9
