SN,Matching,Label,Response,Correct,RT
7,Nonmatch,Self,Nonmatch,1,620.2999999880849
7,Nonmatch,Stranger,Nonmatch,1,879.3000000000175
7,Match,Self,Match,1,575.5999999940395
7,Nonmatch,Stranger,Nonmatch,1,523.4999999970314
7,Match,Stranger,Match,1,626.9999999910651
7,Match,Stranger,Match,1,751.2999999970198
7,Nonmatch,Stranger,Nonmatch,1,556.099999991071
7,Nonmatch,Self,Nonmatch,1,865.5999999880733
7,Nonmatch,Stranger,Nonmatch,1,716.8000000000175
7,Match,Self,Match,1,552.0999999970081
7,Match,Stranger,Nonmatch,0,658.1999999940454
7,Match,Stranger,Match,1,745.2000000000116
7,Match,Self,Match,1,617.2999999970198
7,Nonmatch,Stranger,Nonmatch,1,741.6000000000058
7,Match,Self,Match,1,689.4999999940337
7,Nonmatch,Self,Nonmatch,1,736.8999999999942
7,Match,Stranger,Match,1,756.599999991071
7,Match,Stranger,Match,1,741.5
7,Match,Self,Match,1,535.8999999970256
7,Match,Stranger,Match,1,648.9999999910651
7,Match,Stranger,Nonmatch,0,1047.2999999999884
7,Nonmatch,Stranger,Nonmatch,1,702.1999999880791
7,Match,Stranger,Match,1,691.1999999999534
7,Nonmatch,Stranger,Nonmatch,1,686.9999999880674
7,Nonmatch,Stranger,Nonmatch,1,753.5999999940395
7,Nonmatch,Stranger,Nonmatch,1,434.8999999880907
7,Match,Self,Match,1,584.1999999910477
7,Match,Stranger,Nonmatch,0,626.5
7,Match,Stranger,Match,1,620.7000000000698
7,Match,Self,Match,1,589.8999999940279
7,Nonmatch,Stranger,Nonmatch,1,615
7,Nonmatch,Stranger,Nonmatch,1,899.7000000000116
7,Nonmatch,Stranger,Nonmatch,1,818.1999999910477
7,Match,Stranger,Match,1,745.3999999910593
7,Match,Self,Match,1,710.4999999880674
7,Match,Self,Match,1,456.9000000000233
7,Match,Stranger,Match,1,556.1999999940163
7,Nonmatch,Self,Nonmatch,1,638.699999997043
7,Nonmatch,Stranger,Nonmatch,1,963.2000000000698
7,Match,Self,Match,1,622.7999999999884
